Date,Name,UTM Zone (North/South),Easting (m),Northing (m),Altitude (m),Notes
2023-07-11 12:21:42.22,Baby Berry Mature,21 N,433705.1,5497325.8,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-11 11:40:55.94,Berry Baby Gap,21 N,433641.6,5497287.6,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 3 m"
2023-07-11 13:01:14.35,Berry Hill Gap,21 N,433348.2,5496730.3,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-11 13:44:50.13,Berry Hill Mature,21 N,433417.0,5496675.9,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 3 m"
2023-07-11 09:22:56.24,Berry Pond Gap,21 N,434082.9,5497025.1,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 3 m"
2023-07-13 13:39:50.74,Berry Pond Mature,21 N,434151.4,5496992.5,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
2023-07-11 15:13:30.94,Berry Trail Gap,21 N,433427.5,5497908.1,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 3 m"
2023-07-11 15:54:03.17,Berry Trail Mature,21 N,433174.3,5497740.9,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-10 15:55:48.30,Electric Gap,21 N,433640.6,5496055.3,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-10 15:28:23.20,Electric Mature ,21 N,433583.5,5496043.8,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 4 m"
2023-07-10 14:21:59.24,GM Trail Gap,21 N,438791.0,5491726.0,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 6 m"
2023-07-10 13:47:46.35,GM Trail Mature ,21 N,438749.7,5491778.5,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-11 12:21:37.23,Jul 11, 2023 at 1:51 PM,21 N,433671.0,5497231.1,0,"Horizontal Accuracy: ± 0 m
Vertical Accuracy: ± -1 m"
2023-07-11 15:53:48.67,Jul 11, 2023 at 5:23 PM,21 N,433176.0,5497746.7,91.31614017486572,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 3 m"
2023-07-12 12:32:21.75,Mill Brook Exclosure,21 N,443477.7,5483769.2,81.71215075440705,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 6 m"
2023-07-12 13:31:32.74,Mill Brook Gap (old Timber?),21 N,443619.3,5483903.7,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-12 13:01:10.59,Mill Brook Mature,21 N,443548.0,5483842.1,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-12 13:31:58.76,Mill Brook Mature,21 N,443625.9,5483897.3,0,"Horizontal Accuracy: ± 0 m
Vertical Accuracy: ± -1 m"
2023-07-12 14:45:26.70,Norris Point Exclosure,21 N,437430.8,5490504.3,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 4 m"
2023-07-12 15:02:37.37,Norris Point Mature,21 N,437372.2,5490458.6,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 6 m"
2023-07-12 15:45:52.16,Norris Point Timber,21 N,437403.6,5490363.9,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 4 m"
2023-07-12 09:45:00.62,Southeast Brook Exclosure,21 N,451154.5,5479138.1,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 6 m"
2023-07-12 10:31:11.37,Southeast Brook Mature,21 N,451116.2,5479209.4,0,"Horizontal Accuracy: ± 4 m
Vertical Accuracy: ± 4 m"
2023-07-12 10:10:35.32,Southeast Brook Timber ,21 N,451189.9,5479210.3,0,"Horizontal Accuracy: ± 5 m
Vertical Accuracy: ± 3 m"
